rec_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,soc_sec_id,blocking_number,family_role,_gt_id
rec-278-org,unk,m,27,19930515,,emma,schwanke,vic,comet hill,6330,12,elimatta street,yonda pines,8 55207449,7992871,2,NoRole,rec-278
rec-122-dup-0,usa,m,12,20080516,,ztara,art,njw,stt johns park,3634,4,steffanoni circuit,,07 47034469,1572685,8,NoRole,rec-122
rec-43-dup-0,ind,f,,197310 7,,tho m as,pusan,nsw,rhodes,4520,4,daintree  r escent,,2 17895795,6403766,0,NoRole,rec-43
rec-189-org,nor,f,10,20100601,ms,mitchell,omholt,vic,cannie,5022,11,temperley street,,8 68128020,7728303,5,NoRole,rec-189
rec-58-dup-3,usa,f,31,,ms,jtephani,nieves,nsw,sintera,2122,24,picckles street,,2 76611290,2817765,2,NoRole,rec-58
rec-31-org,ger,f,34,19860707,,jacob,sauer,nsw,stanford merthyr,2333,31,minnett close,,612 42797304,8180499,6,NoRole,rec-31
rec-261-dup-3,unk,f,20,20000204,hon,penjamin,jtraw,nsw,firefly,2481,85,sowden plac,,07 31574019,1187073,9,NoRole,rec-261
rec-296-dup-3,usa,f,22,19981223,,,nguyen,,cronulla,2199,4,postle curcuit,,08 75955873,9123110,3,NoRole,rec-296
rec-251-dup-4,ind,f,34,19860718,,belinda,malipatlolla,nsw,the rocks,1208,315,perry drive,cascina,612 88537752,8205440,8,NoRole,rec-251
rec-267-dup-0,usa,f,,19070317,,jack,jackson,q d,eastru s ell,6026,33,armstrong crescent,,613 907 36636,3772579,7,NoRole,rec-267
rec-170-org,usa,f,32,19880210,,jessica,pitts,sa,robe,2044,4,mcfarlan place,keelee,7 40943277,6384123,6,NoRole,rec-170
rec-282-dup-0,unk,f,,19920417,,rbett,5treck uss,tas,casey (australian ant rctic territory),3043,3,mcnamar a street,,07 48200961,1272112,0,NoRole,rec-282
rec-190-org,usa,f,28,19920907,ms,sophie,frost,nsw,kanahooka,6025,138,slavin place,,04 33489653,8606398,2,NoRole,rec-190
rec-29-org,usa,f,38,19820817,,freya,sharp,vic,costerfield,4825,57,leibnitz place,belmont park,618 54607334,5573808,7,NoRole,rec-29
rec-210-dup-0,nor,f,30,19901123,,riley,hartmark,nsw,aren,3189,22,bugden avenue,nunkkery,2 11291054,2884261,1,NoRole,rec-210
rec-265-dup-0,eng,f,21,19990709,ms,kayden,reier,nsw,church p int,4030,16,biddleco m  street,,2 67515858,4380123,3,NoRole,rec-265
rec-182-dup-2,pol,f,29,19910526,,harriet,borzykowski,vic,wurruk,6302,46,tennyson crescent,,08 01905423,9945945,2,NoRole,rec-182
rec-237-org,ina,f,37,19831109,,timothy,,nsw,old bonalbo,2420,169,newton street,,612 51514160,2292846,0,NoRole,rec-237
rec-57-dup-0,usa,f,32,19880926,ms,ki,nikolj,vic,bittern,3941,30,macleay sttreet,,8 17424946,1100784,2,NoRole,rec-57
rec-40-dup-1,unk,f,38,,,arckie,aarcy,vic,melboahne airport,4005,190,bindiri place,claymore springs,618 30076643,9020186,3,NoRole,rec-40
rec-260-org,eng,f,,19260621,ms,erin,nathanson,nsw,corrimal,2120,46,rosenthal street,,2 92197576,5243480,6,NoRole,rec-260
rec-242-dup-0,eng,f,33,198 70815,dr,nat han,haroldson,qld,wing am,4012,1,denny street,,613 68 98190,2522252,4,NoRole,rec-242
rec-33-dup-2,usa,f,2,19960207,,gracie,cleme nts,nsw,kapooka,4105,124,blakey  lose,,25914 2182,1417154,0,NoRole,rec-33
rec-1-dup-4,,f,,19860707,mr,kelsey,oddy,,ascot,2147,0,anthony rolfe street,waikare,04 62675811,3778629,8,NoRole,rec-1
rec-92-org,ger,,26,19941103,,riley,guggenberger,nsw,valley heights,2121,5,rich street,mckinnon glen,2 85192833,6950706,3,NoRole,rec-92
rec-35-org,ger,,34,19860313,ms,noah,prinosil,wa,herrick,7017,129,rose scott circuit,the range village,08 33724436,6255812,3,NoRole,rec-35
rec-46-dup-0,eng,f,38,19820827,,elly,huxtable,,yagomoa,2557,106,james street,,04 85592130,6772242,1,NoRole,rec-46
rec-117-org,ina,f,35,,pfc,samuel,kurniawan,nsw,north parramatta,3037,29,sexton street,terrawah,612 31700537,8215214,2,NoRole,rec-117
rec-204-dup-2,unk,f,,19730503,,makensy,scofield,,safety bay,3178,24,longworth place,sd francis flge,04 40882479,3165767,1,NoRole,rec-204
rec-31-dup-0,ger,f,34,19860707,,jakob,stoer,nsw,sttanford merthyr,2333,31,minett close,,612 42797304,8180499,6,NoRole,rec-31
rec-145-dup-0,usa,f,36,19840825,ms,tyana,hicks,nsw,rocky glen,2067,279,fullagaah crejcent,,02 99444799,8957120,8,NoRole,rec-145
rec-111-dup-0,eng,f,36,19840418,dr,|a ren,boivin,nsw,tascott,2198,2,o'connell street,,612 18132511,9720347,1,NoRole,rec-111
rec-123-dup-2,eng,f,31,19890830,,lachlan,christophers,nsw,,2084,2,,rosetta village,,7527466,0,NoRole,rec-123
rec-112-dup-0,ind,m,,19790305,,peta,mathana,,yirongpilly,2200,7,garard street,bessy sue,07 24428237,4711305,4,NoRole,rec-112
rec-17-dup-0,eng,,3,19850528,,rile,roys ton,sa,penfield,2795,6,balfour crescent,,0796319526,8091729,7,NoRole,rec-17
rec-16-org,cze,f,,19270923,mr,michael,strelecz,vic,gisborne,3041,10,bridge place,,8 99551555,9474973,7,NoRole,rec-16
rec-83-dup-0,ger,f,36,19840511,ms,sam an tha,kne ib,,woor ee,4122,1,yambina crescent,,08 87041763,8101835,5,NoRole,rec-83
rec-248-dup-2,chi,f,21,19990604,,olivia,szutu,w,lock r dge,2210,2,osburn drive,leonawood,08 5609 354,378 8329,8,NoRole,rec-248
rec-273-dup-2,afg,f,26,19940221,ms,karhlin,wazir,vik,kerri,4013,21,allport street,,08 94319032,3304515,1,NoRole,rec-273
rec-268-dup-2,usa,f,32,19880 24,dr,sop ie,coop er,vic,wombelano,2095,10,5ovthwell street,dusty corner,618 99958776,3505707,9,NoRole,rec-268
rec-42-dup-1,usa,f,30,19900626,,laklan,sdykes,nzw,milpera,2640,24,lyle place,,,7656988,2,NoRole,rec-42
rec-150-dup-4,iri,m,33,19870910,dr,ohannagan,alexandra,nsw,moorland,4350,7,hardy place,carralong,612 68668341,2165756,5,NoRole,rec-150
rec-21-dup-3,eng,m,23,19971 226,,zac h,ruperts n,sa,allendale east,3472,419,mannheim street,5unset,o7 21040401,3890983,5,NoRole,rec-21
rec-177-org,usa,f,24,19960320,ms,jared,lloyd,wa,mitcham,4815,137,tepper circuit,,8 73867955,8514276,8,NoRole,rec-177
rec-62-dup-1,chi,m,,1943 322,ms,kirrah,tann,,yarrambat,50 63,88,,,08 674 0 140,4637 310,3,NoRole,rec-62
rec-227-dup-1,cze,m,23,19970719,,kait in,ves la,qld,harr et,3942,18,cassinia treet,schofield hill,3 19459258,6627319,1,NoRole,rec-227
rec-234-dup-2,ara,m,13,20074408,ms,aneka,yusayrah,nsw,bowning,5067,8,maitland street,brentwood village,02 90326073,9724671,6,NoRole,rec-234
rec-202-org,,f,31,,,natalia,heron,nsw,carcoar,3006,186,longman street,,2 62784028,3297393,7,NoRole,rec-202
rec-161-dup-3,rom,f,25,19950714,,shaun,prunea,nsw,mangerton,3204,60,bottrill street,,2 62015699,7638362,6,NoRole,rec-161
rec-25-dup-0,unk,,27,19930426,mr,amyl,patersyuon,nsw,bayview,6151,19,city walk,,04 16407634,4940656,8,NoRole,rec-25
rec-79-dup-0,usa,v,29,19910927,,emmet,benson,nsw,ckraven,6105,124,guginya crescent,,2 34233163,1493339,7,NoRole,rec-79
rec-186-dup-1,usa,f,41,19790328,pfc,lukaz,gains,qld,domvile,4301,1,appel creskent,,613 42975257,6827575,3,NoRole,rec-186
rec-202-dup-0,,f,31,,,natalia,mueplevtg,nsw,carcoar,3006,186,longman street,,2 62784028,3297393,7,NoRole,rec-202
rec-197-org,unk,,29,19910619,,alannah,abat,qld,simmie,,11,michell street,,3 78250821,2732245,7,NoRole,rec-197
rec-107-dup-2,unk,f,37,19831107,,william,scollard,sa,thonleigh,2260,10,,edenlea retirement,07 81381426,8311287,5,NoRole,rec-107
rec-274-dup-1,chi,f,35,19550217,,pakita,ma,sa,peebnbga,3690,6,,,07 90787648,8468882,9,NoRole,rec-274
rec-79-dup-4,usa,f,29,19910927,,emmet,benson,nsw,kraven,6105,124,guginya crescent,,2 34233163,1493339,7,NoRole,rec-79
rec-150-dup-3,iri,j,38,19870910,dr,alexandra,ohannagan,nsw,moorland,4350,7,carralong,hardy place,612 68668341,7286727,5,NoRole,rec-150
rec-166-dup-1,usa,,36,19841011,,amy,pec,s w,bawley point,5201,5,kemp clo e,,2 5021 3372,5860272,6,NoRole,rec-166
rec-196-dup-3,chi,r,,,ms,isabella,ka,nsw,empire vale,3770,24,harcourt street,,2 25487180,8360664,2,NoRole,rec-196
rec-85-dup-3,usa,m,35,19850111,,jessi ca,best,vic,bell po t hill,46&0,26,sirnpson street,,618 154 5547,2827636,7,NoRole,rec-85
rec-233-org,ind,f,26,19940318,dr,patrick,mangesh,nsw,heddon greta,2330,10,piesse place,bass view,2 14244373,9850632,9,NoRole,rec-233
rec-49-org,eng,,31,19890331,,jacob,bloxham,act,fraser,3039,15,canberra avenue,finemore caravan park,02 49021447,8728319,4,NoRole,rec-49
rec-79-dup-1,usa,f,29,19910927,,emet,benson,nsw,kraven,6105,124,guginya crestcent,,2 34233163,1493339,7,NoRole,rec-79
rec-270-dup-0,dut,f,35,19850512,m,kelsey,poncelet,nsw,upper bowman,422G,12,jerrabomberra avenue,,612100 5410,29 6831,4,NoRole,rec-270
rec-99-org,unk,f,30,19901116,,,scogin,tas,lady barron,3197,28,hooper crescent,pinnacles caravn park,7 91216779,9200927,2,NoRole,rec-99
rec-169-dup-2,eng,,20,19900413,,kynan,derrkck,qld,commissioners flat,2170,10,haddon street,,613 32086491,2221423,5,NoRole,rec-169
rec-262-org,eng,m,33,19871207,,talissa,jeanes,qld,,3156,190,bromley street,,03 56811529,6777337,5,NoRole,rec-262
rec-180-dup-0,unk,f,30,19900318,mr,harrison,streckfuss,,marrg,2224,30,wayalp lace,,613 20536399,1610382,3,NoRole,rec-180
rec-105-dup-0,unk,m,24,19960704,,matthew,skockin,vic,denpy point,2620,2,sid barnes crescent,ainslie house,08 63287637,7752048,3,NoRole,rec-105
rec-83-dup-2,ger,f,36,1984 511,ms,sarnantha,k neib,,wooree,4122,13,yambina c r escent,,08 87041763,8101835,5,NoRole,rec-83
rec-12-dup-1,iri,f,31,19890911,,blacke,beirn,qld,barlost ill,2210,4,phillip avenue,,613 27468450,3820847,9,NoRole,rec-12
rec-223-dup-0,usa,f,35,19850511,,bodho,abbott,qld,airlie beach,7325,27,kapunda street,willandra village,3 42108905,6388187,9,NoRole,rec-223
rec-297-org,chi,f,27,19930713,,toby,fu,wa,shenton park,4114,224,rehfisch close,,08 43688605,5721749,2,NoRole,rec-297
rec-25-dup-2,unk,f,27,19930426,mr,amy,scogin,nsw,bayview,6151,1,,,04 16407634,4940656,8,NoRole,rec-25
rec-71-org,pol,,27,19931028,mr,gracie,drzazgowski,,salisbury,3044,115,sid barnes crescent,,08 31262021,5090739,1,NoRole,rec-71
rec-75-dup-0,usa,f,20,20000420,mr,adriana,allison,sa,mallala,386,1 9,russeJldrysdale crescent,tatyara,617 01784020,3385987,3,NoRole,rec-75
rec-47-org,usa,m,30,19900813,,will,welch,nsw,howlong,4215,93,watling place,,612 81131473,8321904,3,NoRole,rec-47
rec-114-dup-0,usa,m,,19490513,,nathan,glass,qld,walmul,6582,4,salmond street,,3 98974095,7893654,1,NoRole,rec-114
rec-156-dup-1,tha,f,31,19890615,,olifia,yongxaiyudh,za,macclesfield,2031,17,chandler street,,7 94626985,7948831,9,NoRole,rec-156
rec-156-dup-0,tha,f,31,19890615,,olifia,yongxaiyut,sa,macclesfield,2031,17,xandler street,,7 94626985,7948831,9,NoRole,rec-156
rec-45-org,eng,f,9,20111211,dr,andrea,oakley,vic,old bar,4128,22,reader court,,618 16107631,4769040,8,NoRole,rec-45
rec-234-org,ara,m,13,20070108,ms,aneka,yusayrah,nsw,bowning,5067,8,coane street,brentwood village,02 90326073,9724671,6,NoRole,rec-234
rec-225-org,unk,f,26,19941126,ms,jaiden,sckel,vic,bowral,6330,51,raoul place,rowethorpe,03 37900404,2607869,9,NoRole,rec-225
rec-44-dup-0,ind,f,34,19860311,pfc,zacharie,ecsangiani,nsw,nimpin,2228,265,wilson crescent,brileen,02 97802869,2313435,6,NoRole,rec-44
rec-196-dup-0,chi,k,,,ms,isabetlla,ka,nsw,empire vale,3770,28,harcourt street,,2 25487180,8360664,2,NoRole,rec-196
rec-252-dup-0,eng,f,25,19950110,ms,isabele,matewzon,,mount evelyn,4305,29,leane zttreet,,03 20238915,4009263,2,NoRole,rec-252
rec-93-dup-0,usa,,21,,,j ake,osborne,n,castlereagh,23 0,2,richard s street,,02 36019643,1988689,0,NoRole,rec-93
rec-81-org,unk,f,31,19890124,,alexandra,,wa,bindoon training area,3181,42,lewin street,warrah lea,,9143385,9,NoRole,rec-81
rec-130-org,eng,f,40,19800707,,ebony,rogerson,wa,manypeaks,2219,64,mcshane place,the palms village,618 24583459,8673068,7,NoRole,rec-130
rec-193-org,chi,f,10,20100210,dr,william,zhuang,nsw,concord repatriation hospital,,9,william street,the moorings,02 57972328,2494353,9,NoRole,rec-193
rec-231-dup-1,fin,f,,19101228,,brayden,paasilinna,nsw,merpin sot,5097,6,mcdonald ztreet,,612 66109700,9788824,3,NoRole,rec-231
rec-88-dup-1,ind,m,27,19930729,,alanna,durmata,vic,inverleigh,3021,5,bennelong crestcent,,8 41602227,6230452,4,NoRole,rec-88
rec-115-dup-0,abo,m,42,19781217,mr,deklen,worozun,wa,buckara,2066,8,maclean street,,08 58045072,3180218,1,NoRole,rec-115
rec-210-org,nor,f,30,19901123,,riley,hartmark,nsw,warren,3189,22,bugden avenue,nunkeri,2 11291054,2884261,1,NoRole,rec-210
rec-237-dup-1,ina,f,37,19831109,,timothy,,nsw,old bonalbo,2420,169,newto nrjet n,,612 51514160,2292846,0,NoRole,rec-237
rec-96-org,unk,f,26,19940616,mr,samantha,scollard,nsw,eungai creek,6208,43,chermside street,,2 02709625,3733752,9,NoRole,rec-96
rec-3-org,usa,f,31,19890314,ms,,clayton,nsw,caragabal,3228,8,bragg street,sec 80,02 52693297,6633757,5,NoRole,rec-3
rec-54-org,eng,f,9,20110315,ms,nicholas,ryder,,ballarat,2474,223,anthony rolfe street,white house,07 45243767,4874059,1,NoRole,rec-54
rec-26-dup-2,jap,p,29,19911003,,jessica,ichijo,nsw,boat harbour,5213,12,macumba place,,2 84742915,8407424,6,NoRole,rec-26
rec-161-org,rom,f,25,19950714,,shaun,prunea,nsw,mangerton,3204,60,bottrill street,the lakes retirement village,2 62015699,7638362,6,NoRole,rec-161
